HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
,,52.9,2.23?,?,?,1.68,,,,,
646,1,3820,DOVER,13:39:00 ET,6 min,13:45:00 ET,24VN,CC6,56,12/06/2024 06/30/2026,
646,2,038LM,LIBERTY MUTUAL,14:00:00 ET,15 min,14:15:00 ET,,,,,
646,3,30,MANCHESTER,15:20:00 ET,15 min,15:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,44.4,1.93?,?,?,1.33,,,,,
647,1,30,MANCHESTER,12:05:00 ET,15 min,12:20:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
647,2,3825,BARRINGTON,13:10:00 ET,9 min,13:19:00 ET,,,,,
647,3,3867,ROCHESTER,13:40:00 ET,9 min,13:49:00 ET,,,,,
647,4,3884,STRAFFORD,14:10:00 ET,9 min,14:19:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,54.3,2.23?,?,?,1.53,,,,,
648,1,3884,STRAFFORD,14:19:00 ET,9 min,14:28:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
648,2,30,MANCHESTER,15:25:00 ET,15 min,15:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,33.4,1.35?,?,?,0.95,,,,,
649,1,30,MANCHESTER,14:30:00 ET,15 min,14:45:00 ET,26LG,6X,51,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
649,2,3884,STRAFFORD,15:51:00 ET,9 min,16:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,33.5,1.50?,?,?,1.1,,,,,
650,1,3884,STRAFFORD,16:01:00 ET,6 min,16:07:00 ET,26LG,6X,51,12/06/2024 06/30/2026,
650,2,3825,BARRINGTON,16:19:00 ET,6 min,16:25:00 ET,,,,,
650,3,30,MANCHESTER,17:35:00 ET,15 min,17:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,46.2,1.82?,?,?,1.37,,,,,
651,1,30,MANCHESTER,16:30:00 ET,15 min,16:45:00 ET,24LG,K67,251,12/06/2024 06/30/2026,
651,2,3820,DOVER,17:52:00 ET,9 min,18:01:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.4,1.52?,?,?,1.12,,,,,
652,1,3820,DOVER,18:01:00 ET,9 min,18:10:00 ET,24LG,K67,251,12/06/2024 06/30/2026,
652,2,30,MANCHESTER,19:10:00 ET,15 min,19:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.3,1.40?,?,?,1,,,,,
653,1,30,MANCHESTER,15:30:00 ET,15 min,15:45:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
653,2,3822,LIBERTY MUTUAL,16:55:00 ET,15 min,17:10:00 ET,,,,,
653,3,038LM,LIBERTY MUTUAL,17:16:00 ET,9 min,17:25:00 ET,,,,,
653,4,3867,ROCHESTER,17:45:00 ET,15 min,18:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52,2.50?,?,?,1.6,,,,,
654,1,3867,ROCHESTER,18:01:00 ET,6 min,18:07:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
654,2,30,MANCHESTER,19:05:00 ET,15 min,19:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.4,1.32?,?,?,0.97,,,,,
655,1,30,MANCHESTER,15:35:00 ET,15 min,15:50:00 ET,24LG,K67,251,12/06/2024 06/30/2026,
655,2,3884,STRAFFORD,16:54:00 ET,6 min,17:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,33.5,1.42?,?,?,1.07,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
656,1,3884,STRAFFORD,17:01:00 ET,9 min,17:10:00 ET,24LG,K67,251,12/06/2024 06/30/2026,
656,2,3825,BARRINGTON,17:29:00 ET,6 min,17:35:00 ET,,,,,
656,3,3290,NOTTINGHAM,18:01:00 ET,9 min,18:10:00 ET,,,,,
656,4,30,MANCHESTER,18:55:00 ET,15 min,19:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,46.8,2.15?,?,?,1.5,,,,,
657,1,30,MANCHESTER,15:45:00 ET,15 min,16:00:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
657,2,3867,ROCHESTER,17:15:00 ET,9 min,17:24:00 ET,,,,,
657,3,3820,DOVER,17:50:00 ET,9 min,17:59:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52.9,2.23?,?,?,1.68,,,,,
658,1,3820,DOVER,17:59:00 ET,9 min,18:08:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
658,2,30,MANCHESTER,19:15:00 ET,15 min,19:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.3,1.52?,?,?,1.12,,,,,
659,1,30,MANCHESTER,17:00:00 ET,15 min,17:15:00 ET,24VN,K7,303,12/06/2024 02/21/2025,
659,2,3801,PORTSMOUTH,18:26:00 ET,9 min,18:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.58?,?,?,1.18,,,,,
660,1,3801,PORTSMOUTH,18:36:00 ET,6 min,18:42:00 ET,24VN,K7,303,12/06/2024 02/21/2025,
660,2,30,MANCHESTER,19:40:00 ET,15 min,19:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.32?,?,?,0.97,,,,,
661,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24VN,K7,303,02/22/2025 06/30/2026,
661,2,3827,EAST KINGSTON,06:50:00 ET,10 min,07:00:00 ET,,,,,
661,3,3858,NEWTON,07:20:00 ET,10 min,07:30:00 ET,,,,,
661,4,3859,NEWTON JUNCTION,07:45:00 ET,5 min,07:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,38.6,2.08?,?,?,1.41,,,,,
662,1,3859,NEWTON JUNCTION,07:50:00 ET,5 min,07:55:00 ET,24VN,K7,303,02/22/2025 06/30/2026,
662,2,30,MANCHESTER,08:45:00 ET,15 min,09:00:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,32,1.17?,?,?,0.84,,,,,
663,1,30,MANCHESTER,11:50:00 ET,15 min,12:05:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
663,2,3848,KINGSTON,12:51:00 ET,9 min,13:00:00 ET,,,,,
663,3,3827,EAST KINGSTON,13:09:00 ET,6 min,13:15:00 ET,,,,,
663,4,3858,NEWTON,13:26:00 ET,9 min,13:35:00 ET,,,,,
663,5,3859,NEWTON JUNCTION,13:41:00 ET,9 min,13:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,38.6,2.00?,?,?,1.2,,,,,
664,1,3859,NEWTON JUNCTION,13:51:00 ET,6 min,13:57:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
664,2,30,MANCHESTER,14:45:00 ET,15 min,15:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,31.9,1.15?,?,?,0.8,,,,,
665,1,30,MANCHESTER,16:05:00 ET,15 min,16:20:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
665,2,3878,SOMERSWORTH,17:25:00 ET,9 min,17:34:00 ET,,,,,
665,3,3869,ROLLINSFORD,17:46:00 ET,6 min,17:52:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,49.8,1.78?,?,?,1.28,,,,,
666,1,3869,ROLLINSFORD,17:52:00 ET,6 min,17:58:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
666,2,3820,DOVER,18:15:00 ET,9 min,18:24:00 ET,,,,,
666,3,30,MANCHESTER,19:30:00 ET,15 min,19:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.8,1.88?,?,?,1.38,,,,,
667,1,30,MANCHESTER,15:45:00 ET,15 min,16:00:00 ET,26VN,K7,303,12/06/2024 06/30/2026,
667,2,3859,NEWTON JUNCTION,16:56:00 ET,9 min,17:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,31.8,1.33?,?,?,0.93,,,,,
668,1,3859,NEWTON JUNCTION,17:06:00 ET,6 min,17:12:00 ET,26VN,K7,303,12/06/2024 06/30/2026,
668,2,3858,NEWTON,17:16:00 ET,9 min,17:25:00 ET,,,,,
668,3,3827,EAST KINGSTON,17:36:00 ET,9 min,17:45:00 ET,,,,,
668,4,3848,KINGSTON,17:56:00 ET,9 min,18:05:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
668,5,30,MANCHESTER,18:45:00 ET,15 min,19:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.7,1.90?,?,?,1.1,,,,,
669,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24LG,K7,303,02/22/2025 06/30/2026,
669,2,3871,RYE BEACH,07:00:00 ET,9 min,07:09:00 ET,,,,,
669,3,3854,NEW CASTLE,08:00:00 ET,5 min,08:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,54,2.33?,?,?,1.85,,,,,
670,1,3854,NEW CASTLE,08:00:00 ET,5 min,08:05:00 ET,24LG,K7,303,02/22/2025 06/30/2026,
670,2,30,MANCHESTER,09:15:00 ET,15 min,09:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,49,1.50?,?,?,1.17,,,,,
671,1,30,MANCHESTER,11:40:00 ET,15 min,11:55:00 ET,24LG,K7,303,12/06/2024 02/21/2025,
671,2,3862,NORTH HAMPTON,12:40:00 ET,6 min,12:46:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,37.3,1.10?,?,?,0.75,,,,,
672,1,3862,NORTH HAMPTON,12:47:00 ET,6 min,12:53:00 ET,24LG,K7,303,12/06/2024 02/21/2025,
672,2,3871,RYE BEACH,13:06:00 ET,9 min,13:15:00 ET,,,,,
672,3,3870,RYE,13:31:00 ET,9 min,13:40:00 ET,,,,,
672,4,3854,NEW CASTLE,13:56:00 ET,9 min,14:05:00 ET,,,,,
672,5,30,MANCHESTER,15:15:00 ET,15 min,15:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,64.4,2.72?,?,?,1.92,,,,,
673,1,30,MANCHESTER,13:15:00 ET,15 min,13:30:00 ET,24LG,K7,303,02/22/2025 06/30/2026,
673,2,038PP,PASSPORT CENTER - PORTSMOUTH,14:45:00 ET,9 min,14:54:00 ET,,,,,
673,3,3854,NEW CASTLE,16:45:00 ET,10 min,16:55:00 ET,,,,,
673,4,3871,RYE BEACH,17:35:00 ET,10 min,17:45:00 ET,,,,,
673,5,3844,HAMPTON FALLS,18:10:00 ET,5 min,18:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,69,5.00?,?,?,4.18,,,,,
674,1,3844,HAMPTON FALLS,18:15:00 ET,5 min,18:20:00 ET,24LG,K7,303,02/22/2025 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
674,2,30,MANCHESTER,19:15:00 ET,15 min,19:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,39.9,1.25?,?,?,0.92,,,,,
675,1,30,MANCHESTER,02:45:00 ET,15 min,03:00:00 ET,24VN,K7,303,12/06/2024 02/21/2025,
675,2,3842,HAMPTON,04:00:00 ET,9 min,04:09:00 ET,,,,,
675,3,3874,SEABROOK,04:23:00 ET,9 min,04:32:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.7,1.78?,?,?,1.23,,,,,
676,1,3874,SEABROOK,04:32:00 ET,6 min,04:38:00 ET,24VN,K7,303,12/06/2024 02/21/2025,
676,2,30,MANCHESTER,05:28:00 ET,15 min,05:43:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43,1.18?,?,?,0.83,,,,,
677,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24VN,QQ,363,12/06/2024 02/21/2025,
677,2,3862,NORTH HAMPTON,06:40:00 ET,9 min,06:49:00 ET,,,,,
677,3,3842,HAMPTON,07:00:00 ET,9 min,07:09:00 ET,,,,,
677,4,3874,SEABROOK,07:25:00 ET,6 min,07:31:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,44.8,2.27?,?,?,1.62,,,,,
678,1,3874,SEABROOK,07:31:00 ET,6 min,07:37:00 ET,24VN,QQ,363,12/06/2024 02/21/2025,
678,2,30,MANCHESTER,08:35:00 ET,15 min,08:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43,1.32?,?,?,0.97,,,,,
679,1,30,MANCHESTER,10:50:00 ET,15 min,11:05:00 ET,24VN,K7,303,12/06/2024 02/21/2025,
679,2,3842,HAMPTON,12:06:00 ET,9 min,12:15:00 ET,,,,,
679,3,3844,HAMPTON FALLS,12:26:00 ET,9 min,12:35:00 ET,,,,,
679,4,3874,SEABROOK,12:49:00 ET,6 min,12:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.7,2.08?,?,?,1.43,,,,,
680,1,3874,SEABROOK,12:56:00 ET,6 min,13:02:00 ET,24VN,K7,303,12/06/2024 02/21/2025,
680,2,30,MANCHESTER,14:00:00 ET,15 min,14:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,43,1.32?,?,?,0.97,,,,,
681,1,30,MANCHESTER,15:00:00 ET,15 min,15:15:00 ET,24VN,6X,51,12/06/2024 02/21/2025,
681,2,3874,SEABROOK,16:16:00 ET,9 min,16:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.3,1.42?,?,?,1.02,,,,,
682,1,3874,SEABROOK,16:26:00 ET,6 min,16:32:00 ET,24VN,6X,51,12/06/2024 02/21/2025,
682,2,3844,HAMPTON FALLS,16:39:00 ET,6 min,16:45:00 ET,,,,,
682,3,3842,HAMPTON,16:56:00 ET,9 min,17:05:00 ET,,,,,
682,4,30,MANCHESTER,18:15:00 ET,15 min,18:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.2,2.07?,?,?,1.47,,,,,
683,1,30,MANCHESTER,16:00:00 ET,15 min,16:15:00 ET,24VN,K67,251,12/06/2024 02/21/2025,
683,2,3874,SEABROOK,17:10:00 ET,15 min,17:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.3,1.42?,?,?,0.92,,,,,
684,1,3874,SEABROOK,17:26:00 ET,6 min,17:32:00 ET,24VN,K67,251,12/06/2024 02/21/2025,
684,2,3844,HAMPTON FALLS,17:40:00 ET,15 min,17:55:00 ET,,,,,
684,3,3842,HAMPTON,18:05:00 ET,15 min,18:20:00 ET,,,,,
684,4,30,MANCHESTER,19:20:00 ET,15 min,19:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.2,2.15?,?,?,1.3,,,,,
685,1,30,MANCHESTER,02:45:00 ET,15 min,03:00:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
685,2,3841,HAMPSTEAD,03:45:00 ET,9 min,03:54:00 ET,,,,,
685,3,3865,PLAISTOW,04:15:00 ET,9 min,04:24:00 ET,,,,,
685,4,3811,ATKINSON,04:30:00 ET,9 min,04:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,34.2,1.90?,?,?,1.2,,,,,
686,1,3811,ATKINSON,04:39:00 ET,6 min,04:45:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
686,2,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.4,1.10?,?,?,0.75,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
687,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,24LG,9-608,60,12/06/2024 06/30/2026,
687,2,3841,HAMPSTEAD,06:20:00 ET,9 min,06:29:00 ET,,,,,
687,3,3811,ATKINSON,06:45:00 ET,9 min,06:54:00 ET,,,,,
687,4,3865,PLAISTOW,07:00:00 ET,9 min,07:09:00 ET,,,,,
687,5,3826,EAST HAMPSTEAD,07:25:00 ET,9 min,07:34:00 ET,,,,,
687,6,3819,DANVILLE,07:44:00 ET,9 min,07:53:00 ET,,,,,
687,7,3873,SANDOWN,08:05:00 ET,9 min,08:14:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,47.2,2.73?,?,?,1.58,,,,,
688,1,3873,SANDOWN,08:15:00 ET,9 min,08:24:00 ET,24LG,9-608,60,12/06/2024 06/30/2026,
688,2,30,MANCHESTER,09:05:00 ET,15 min,09:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.9,1.08?,?,?,0.68,,,,,
689,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
689,2,3841,HAMPSTEAD,06:45:00 ET,9 min,06:54:00 ET,,,,,
689,3,3873,SANDOWN,07:00:00 ET,9 min,07:09:00 ET,,,,,
689,4,3826,EAST HAMPSTEAD,07:30:00 ET,9 min,07:39:00 ET,,,,,
689,5,3819,DANVILLE,08:00:00 ET,9 min,08:09:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,36.2,2.40?,?,?,1.55,,,,,
690,1,3819,DANVILLE,08:10:00 ET,9 min,08:19:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
690,2,30,MANCHESTER,09:00:00 ET,15 min,09:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,28,1.08?,?,?,0.68,,,,,
691,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
691,2,3811,ATKINSON,06:45:00 ET,9 min,06:54:00 ET,,,,,
691,3,3865,PLAISTOW,07:10:00 ET,6 min,07:16:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,28,1.52?,?,?,1.02,,,,,
692,1,3865,PLAISTOW,07:17:00 ET,6 min,07:23:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
692,2,30,MANCHESTER,08:10:00 ET,15 min,08:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,31.9,1.13?,?,?,0.78,,,,,
693,1,30,MANCHESTER,11:15:00 ET,15 min,11:30:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
693,2,3811,ATKINSON,12:10:00 ET,9 min,12:19:00 ET,,,,,
693,3,3865,PLAISTOW,12:30:00 ET,9 min,12:39:00 ET,,,,,
693,4,3819,DANVILLE,12:55:00 ET,9 min,13:04:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,36.3,1.82?,?,?,1.12,,,,,
694,1,3819,DANVILLE,13:04:00 ET,6 min,13:10:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
694,2,3873,SANDOWN,13:25:00 ET,9 min,13:34:00 ET,,,,,
694,3,3826,EAST HAMPSTEAD,13:45:00 ET,9 min,13:54:00 ET,,,,,
694,4,3841,HAMPSTEAD,14:05:00 ET,9 min,14:14:00 ET,,,,,
694,5,30,MANCHESTER,15:00:00 ET,15 min,15:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,39.8,2.18?,?,?,1.38,,,,,
695,1,30,MANCHESTER,16:00:00 ET,15 min,16:15:00 ET,26LG,K7,303,08/31/2024 06/30/2026,
695,2,3811,ATKINSON,16:50:00 ET,25 min,17:15:00 ET,,,,,
695,3,3865,PLAISTOW,17:20:00 ET,5 min,17:25:00 ET,,,,,
695,4,3819,DANVILLE,17:40:00 ET,10 min,17:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,36.4,1.83?,?,?,0.91,,,,,
696,1,3819,DANVILLE,17:50:00 ET,10 min,18:00:00 ET,26LG,K7,303,08/31/2024 06/30/2026,
696,2,3873,SANDOWN,18:15:00 ET,15 min,18:30:00 ET,,,,,
696,3,3826,EAST HAMPSTEAD,18:40:00 ET,10 min,18:50:00 ET,,,,,
696,4,3841,HAMPSTEAD,19:00:00 ET,10 min,19:10:00 ET,,,,,
696,5,30,MANCHESTER,19:40:00 ET,15 min,19:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,39.9,2.08?,?,?,1.08,,,,,
697,1,30,MANCHESTER,05:25:00 ET,15 min,05:40:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
697,2,3835,FARMINGTON,06:55:00 ET,9 min,07:04:00 ET,,,,,
697,3,3855,NEW DURHAM,07:15:00 ET,9 min,07:24:00 ET,,,,,
697,4,3809,ALTON,07:35:00 ET,9 min,07:44:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,56.8,2.32?,?,?,1.62,,,,,
698,1,3809,ALTON,07:45:00 ET,9 min,07:54:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
698,2,30,MANCHESTER,09:00:00 ET,15 min,09:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,44.4,1.50?,?,?,1.1,,,,,
699,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24LG,9-608,60,12/06/2024 06/30/2026,
699,2,3851,MILTON,07:10:00 ET,9 min,07:19:00 ET,,,,,
699,3,3809,ALTON,07:45:00 ET,9 min,07:54:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,67.1,2.15?,?,?,1.6,,,,,
700,1,3809,ALTON,07:55:00 ET,6 min,08:01:00 ET,24LG,9-608,60,12/06/2024 06/30/2026,
700,2,30,MANCHESTER,09:05:00 ET,15 min,09:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,44.4,1.42?,?,?,1.07,,,,,
701,1,30,MANCHESTER,10:25:00 ET,15 min,10:40:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
701,2,3810,ALTON BAY,11:46:00 ET,9 min,11:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.6,1.50?,?,?,1.1,,,,,
702,1,3810,ALTON BAY,11:55:00 ET,6 min,12:01:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
702,2,3809,ALTON,12:10:00 ET,6 min,12:16:00 ET,,,,,
702,3,3855,NEW DURHAM,12:25:00 ET,6 min,12:31:00 ET,,,,,
702,4,3887,UNION,12:52:00 ET,6 min,12:58:00 ET,,,,,
702,5,3851,MILTON,13:09:00 ET,9 min,13:18:00 ET,,,,,
702,6,3835,FARMINGTON,13:29:00 ET,9 min,13:38:00 ET,,,,,
702,7,30,MANCHESTER,14:55:00 ET,15 min,15:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,79.1,3.25?,?,?,2.3,,,,,
703,1,30,MANCHESTER,14:45:00 ET,15 min,15:00:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
703,2,3810,ALTON BAY,16:15:00 ET,9 min,16:24:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.6,1.65?,?,?,1.25,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
704,1,3810,ALTON BAY,16:24:00 ET,6 min,16:30:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
704,2,3809,ALTON,16:34:00 ET,6 min,16:40:00 ET,,,,,
704,3,3855,NEW DURHAM,16:47:00 ET,6 min,16:53:00 ET,,,,,
704,4,3887,UNION,17:14:00 ET,6 min,17:20:00 ET,,,,,
704,5,3851,MILTON,17:36:00 ET,9 min,17:45:00 ET,,,,,
704,6,3835,FARMINGTON,17:56:00 ET,9 min,18:05:00 ET,,,,,
704,7,30,MANCHESTER,19:25:00 ET,15 min,19:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,79.1,3.27?,?,?,2.32,,,,,
1001,1,3229,CONTOOCOOK,04:40:00 ET,15 min,04:55:00 ET,24LG,C13,113,12/06/2024 06/30/2026,
1001,2,3278,WARNER,05:11:00 ET,9 min,05:20:00 ET,,,,,
1001,3,3221,BRADFORD,05:39:00 ET,9 min,05:48:00 ET,,,,,
1001,4,3255,NEWBURY,06:12:00 ET,9 min,06:21:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.4,1.68?,?,?,0.98,,,,,
1002,1,3255,NEWBURY,06:21:00 ET,9 min,06:30:00 ET,24LG,C13,113,12/06/2024 06/30/2026,
1002,2,3229,CONTOOCOOK,07:00:00 ET,15 min,07:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.5,0.90?,?,?,0.5,,,,,
1003,1,3229,CONTOOCOOK,06:45:00 ET,15 min,07:00:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
1003,2,3278,WARNER,07:09:00 ET,9 min,07:18:00 ET,,,,,
1003,3,3221,BRADFORD,07:34:00 ET,9 min,07:43:00 ET,,,,,
1003,4,3255,NEWBURY,07:56:00 ET,9 min,08:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.4,1.33?,?,?,0.63,,,,,
1004,1,3255,NEWBURY,08:05:00 ET,6 min,08:11:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
1004,2,3229,CONTOOCOOK,08:35:00 ET,15 min,08:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.5,0.75?,?,?,0.4,,,,,
